71
260
0 0 1 0 
1 0 2 0 
2 0 3 0 
3 0 4 0 
4 0 5 0 
5 0 6 0 
6 0 7 0 
7 0 8 0 
8 0 9 0 
9 0 10 0 
10 0 11 0 
11 0 12 0 
12 0 13 0 
13 0 14 0 
14 0 15 0 
15 0 16 0 
16 0 17 0 
17 0 18 0 
18 0 19 0 
19 0 20 0 
20 0 21 0 
21 0 22 0 
22 0 23 0 
23 0 24 0 
24 0 25 0 
25 0 26 0 
26 0 27 0 
27 0 28 0 
28 0 29 0 
29 0 30 0 
30 0 31 0 
31 0 32 0 
32 0 33 0 
33 0 34 0 
34 0 35 0 
35 0 36 0 
36 0 37 0 
37 0 38 0 
38 0 39 0 
39 0 40 0 
40 0 41 0 
41 0 42 0 
42 0 43 0 
43 0 44 0 
44 0 45 0 
45 0 46 0 
46 0 47 0 
47 0 48 0 
48 0 49 0 
49 0 50 0 
50 0 51 0 
51 0 52 0 
52 0 53 0 
53 0 54 0 
54 0 55 0 
55 0 56 0 
56 0 57 0 
57 0 58 0 
58 0 59 0 
59 0 60 0 
60 0 61 0 
61 0 62 0 
62 0 63 0 
63 0 64 0 
64 0 65 0 
65 0 66 0 
66 0 67 0 
67 0 68 0 
68 0 69 0 
69 0 70 0 
70 1 2 438 
71 1 3 590 
72 1 4 82 
73 1 5 726 
74 1 6 5 
75 1 9 833 
76 1 12 693 
77 1 25 413 
78 1 57 125 
79 2 10 924 
80 2 13 45 
81 2 33 157 
82 2 45 723 
83 2 52 698 
84 2 58 34 
85 2 60 744 
86 2 69 528 
87 3 4 718 
88 3 5 659 
89 3 7 848 
90 3 12 197 
91 3 31 186 
92 3 42 540 
93 3 56 242 
94 4 7 658 
95 4 32 420 
96 4 35 286 
97 4 42 228 
98 5 23 245 
99 5 46 493 
100 5 49 143 
101 5 67 684 
102 7 8 84 
103 7 30 225 
104 7 64 410 
105 8 34 90 
106 8 51 59 
107 8 62 103 
108 9 11 504 
109 9 13 185 
110 9 17 28 
111 9 33 550 
112 9 36 342 
113 10 28 751 
114 10 31 248 
115 10 32 377 
116 10 35 495 
117 10 39 777 
118 10 48 95 
119 11 14 154 
120 11 19 625 
121 11 21 293 
122 11 22 341 
123 11 23 165 
124 11 26 535 
125 11 41 999 
126 11 47 586 
127 11 55 821 
128 12 15 228 
129 12 20 831 
130 12 26 315 
131 13 16 371 
132 13 18 515 
133 13 40 400 
134 13 50 597 
135 13 59 925 
136 14 31 490 
137 14 46 657 
138 15 16 29 
139 15 48 995 
140 15 57 842 
141 15 65 57 
142 15 66 545 
143 15 69 185 
144 16 36 808 
145 16 50 794 
146 16 56 562 
147 17 27 304 
148 18 23 571 
149 18 24 658 
150 18 30 458 
151 18 61 196 
152 19 32 951 
153 20 29 800 
154 20 41 362 
155 20 70 487 
156 21 40 800 
157 21 53 948 
158 21 61 308 
159 22 26 29 
160 22 51 779 
161 22 52 624 
162 22 69 400 
163 23 46 295 
164 23 49 24 
165 23 55 998 
166 24 32 221 
167 24 52 515 
168 24 53 655 
169 25 44 250 
170 25 63 510 
171 25 64 498 
172 26 38 307 
173 26 51 56 
174 27 28 683 
175 27 35 116 
176 27 42 850 
177 27 48 246 
178 28 43 420 
179 28 67 421 
180 29 41 904 
181 31 37 879 
182 31 53 617 
183 32 55 855 
184 33 58 680 
185 34 36 979 
186 34 38 342 
187 34 54 480 
188 35 45 928 
189 35 68 651 
190 36 51 509 
191 37 60 707 
192 38 44 275 
193 38 47 910 
194 38 48 3 
195 38 68 300 
196 40 41 909 
197 40 46 224 
198 40 63 816 
199 40 64 564 
200 41 45 474 
201 41 48 326 
202 43 68 63 
203 44 52 782 
204 44 57 382 
205 44 59 747 
206 44 64 899 
207 45 50 233 
208 46 50 993 
209 46 59 320 
210 46 65 654 
211 46 67 897 
212 47 52 200 
213 47 59 272 
214 47 69 753 
215 48 55 880 
216 48 67 252 
217 48 68 96 
218 48 69 361 
219 50 56 180 
220 50 61 748 
221 50 67 871 
222 50 68 888 
223 51 52 24 
224 51 64 781 
225 52 62 891 
226 52 69 324 
227 53 54 690 
228 53 56 115 
229 54 59 140 
230 54 67 255 
231 54 69 590 
232 55 57 467 
233 55 58 319 
234 55 64 373 
235 57 63 850 
236 57 64 66 
237 57 66 272 
238 58 65 83 
239 58 66 59 
240 58 67 592 
241 59 62 737 
242 59 64 957 
243 60 61 793 
244 60 62 9 
245 61 62 710 
246 62 66 674 
247 63 66 262 
248 64 65 807 
249 64 68 35 
250 66 67 442 
251 66 68 555 
252 66 69 906 
253 66 70 330 
254 67 68 579 
255 67 69 688 
256 67 70 221 
257 68 69 904 
258 68 70 379 
259 69 70 336 


